Word 1,Word 2,Human Score,Predicted Similarity
peace,atmosphere,2.1875,0.17967136204242706
peace,insurance,1.7565,0.043951213359832764
peace,plan,1.5,0.07373309880495071
phone,equipment,4.0315,0.011573705822229385
plane,car,3.5625,0.3106660544872284
planet,moon,6.0,0.3425349295139313
planet,people,3.375,0.0676262304186821
planet,space,5.3125,0.20607607066631317
planet,star,5.625,0.20781415700912476
planet,sun,5.8125,0.2925691604614258
population,development,3.4755,0.09592095017433167
possibility,girl,1.069,0.21083462238311768
practice,institution,3.5625,0.12810802459716797
problem,challenge,6.875,0.1071195900440216
production,crew,3.1875,0.027173258364200592
professor,doctor,6.125,0.19685521721839905
profit,loss,3.875,0.2651698589324951
profit,warning,1.6875,-0.0017527677118778229
record,number,3.5,0.10073142498731613
registration,arrangement,3.4375,0.005895927548408508
report,gain,2.25,0.18007612228393555
rock,jazz,5.5,0.006741974502801895
school,center,3.875,0.08060381561517715
secretary,senate,3.75,0.34691083431243896
seven,series,2.25,0.31164729595184326
situation,conclusion,3.5625,0.07375264167785645
skin,eye,2.75,0.1473013013601303
smart,student,3.625,-0.034882694482803345
smart,stupid,3.25,0.21034595370292664
soap,opera,3.5625,0.2560918927192688
space,world,4.9375,0.3066695034503937
start,match,2.5,0.04163995757699013
start,year,1.625,0.1566404104232788
stock,life,1.8125,0.1237034797668457
stock,live,1.875,0.03769386187195778
stock,market,4.875,0.07810959964990616
stock,phone,0.75,0.2648204267024994
street,avenue,7.6875,0.2648410201072693
street,block,6.5625,0.14614753425121307
street,children,1.294,0.041175298392772675
street,place,4.5,0.031168246641755104
student,professor,4.9375,0.31581974029541016
sugar,approach,0.9375,0.14278151094913483
summer,nature,4.0,0.10350149869918823
telephone,communication,6.6875,0.08135392516851425
television,film,5.75,0.02945542149245739
television,radio,4.625,0.018882252275943756
territory,surface,3.594,0.08878514170646667
theater,history,1.9375,0.0943455845117569
train,car,3.5,0.16114217042922974
travel,activity,4.1875,-0.012542091310024261
treatment,recovery,5.3125,0.005846560001373291
type,kind,8.4375,0.2891385555267334
victim,emergency,2.6875,0.11377185583114624
war,troops,6.375,0.19500301778316498
weapon,secret,2.5,0.22283020615577698
wednesday,news,1.125,0.03581351786851883
wood,forest,7.9375,0.039559509605169296
