Word 1,Word 2,Human Score,Predicted Similarity
holy,sex,1.069,0.13419422507286072
hundred,percent,4.4375,0.24430236220359802
image,surface,1.8125,0.1465771198272705
investigation,effort,3.75,0.12366683036088943
japanese,american,3.125,0.1614988148212433
journal,association,2.625,0.18825049698352814
journey,car,4.0625,0.10698441416025162
king,queen,5.6875,0.18539118766784668
law,lawyer,6.1875,0.3178720772266388
lawyer,evidence,3.9375,0.018842946738004684
life,death,4.375,0.3218330442905426
life,lesson,3.1875,0.05599215254187584
life,term,3.8125,0.03355037793517113
line,insurance,1.3125,0.02418903261423111
liquid,water,7.0625,0.3343386650085449
love,sex,6.375,0.2482803463935852
luxury,car,3.3125,0.21114030480384827
man,governor,4.25,0.10316106677055359
man,woman,4.5,0.40361467003822327
mars,water,1.5625,0.11551208794116974
minister,party,3.0625,0.18172991275787354
minority,peace,1.1875,0.11183881759643555
money,bank,6.0,0.17152389883995056
money,cash,8.875,0.29415929317474365
money,cash,9.0315,0.29415929317474365
money,dollar,7.6875,0.11073808372020721
money,operation,1.875,-0.024137083441019058
money,possession,4.3125,0.18061423301696777
money,property,5.0625,0.43472111225128174
money,wealth,7.0625,0.1416068971157074
month,hotel,1.0625,0.20563489198684692
morality,importance,2.5,0.01721087470650673
morality,marriage,2.375,0.17689064145088196
movie,critic,3.1875,-0.01288148108869791
movie,star,4.3125,0.41317257285118103
movie,theater,6.125,0.2850407660007477
museum,theater,3.875,0.3178490698337555
music,project,3.1875,0.007152339443564415
nature,environment,6.9375,0.1471487134695053
nature,man,2.9375,0.05698677897453308
news,report,6.8125,0.3353387713432312
oil,stock,2.9375,0.2494085729122162
opera,industry,1.194,0.17492954432964325
opera,performance,4.875,0.19882094860076904
peace,atmosphere,2.1875,0.2061164528131485
peace,insurance,1.7565,0.21614640951156616
peace,plan,1.5,0.007162854075431824
phone,equipment,4.0315,0.09442900121212006
plane,car,3.5625,0.16783389449119568
planet,moon,6.0,0.1280631273984909
planet,people,3.375,0.07566554844379425
planet,space,5.3125,-0.04015939682722092
planet,star,5.625,0.2756020724773407
planet,sun,5.8125,0.264911025762558
population,development,3.4755,0.24798426032066345
possibility,girl,1.069,0.11893029510974884
practice,institution,3.5625,0.1231289878487587
problem,challenge,6.875,0.22314074635505676
production,crew,3.1875,0.30382364988327026
professor,doctor,6.125,0.2282002568244934
profit,loss,3.875,0.13151341676712036
profit,warning,1.6875,0.11619890481233597
record,number,3.5,0.16357821226119995
registration,arrangement,3.4375,0.21225500106811523
report,gain,2.25,-0.009459350258111954
rock,jazz,5.5,0.21867404878139496
school,center,3.875,0.17504751682281494
secretary,senate,3.75,0.33041486144065857
seven,series,2.25,0.09698431193828583
situation,conclusion,3.5625,0.08024844527244568
skin,eye,2.75,0.10874384641647339
smart,student,3.625,0.18016372621059418
smart,stupid,3.25,0.31409141421318054
soap,opera,3.5625,0.13833820819854736
space,world,4.9375,0.04617271199822426
start,match,2.5,-0.03828398510813713
start,year,1.625,0.23711979389190674
stock,life,1.8125,0.1911773383617401
stock,live,1.875,-0.019343921914696693
stock,market,4.875,0.21630747616291046
stock,phone,0.75,0.033338360488414764
street,avenue,7.6875,0.3115285634994507
street,block,6.5625,0.2233155071735382
street,children,1.294,0.08868931233882904
street,place,4.5,0.16570456326007843
student,professor,4.9375,0.2416389137506485
sugar,approach,0.9375,0.04426154866814613
summer,nature,4.0,0.010600104928016663
telephone,communication,6.6875,0.1523289680480957
television,film,5.75,0.10944145917892456
television,radio,4.625,0.27188798785209656
territory,surface,3.594,0.0679379552602768
theater,history,1.9375,0.1800442337989807
train,car,3.5,0.2041369527578354
travel,activity,4.1875,0.2022228091955185
treatment,recovery,5.3125,-0.007051762193441391
type,kind,8.4375,0.21106024086475372
victim,emergency,2.6875,0.10170534253120422
war,troops,6.375,0.11922147125005722
weapon,secret,2.5,0.15738286077976227
wednesday,news,1.125,0.08452433347702026
wood,forest,7.9375,0.1751568466424942
